id,domain,title,status,evidence,notes,source
A-0008,agileplus,CI: Unit Tests,reference,,,agileplus
A-0008,agentic-github,Abhilashb1/Docs/consolidated,reference,https://github.com/Abhilashb1/Docs,Source: gh-garak-llm-vulnerability,agentic-research
A-0009,architecture,mod.rs vs lib.rs declaration policy,satisfied,psub-gateway/src/lib.rs uses inline mod declarations; mod.rs not used,,substrate-v3
A-0009,agileplus,Distribution: GitHub Releases,reference,,,agileplus
A-0009,agentic-github,Abhilashb1/Docs/fail,reference,https://github.com/Abhilashb1/Docs,Source: gh-garak-llm-vulnerability,agentic-research
A-0010,architecture,no cyclic deps between crates,satisfied,substrate-core no upward refs verified by cargo tree,,substrate-v3
A-0010,agileplus,DX: Documentation,reference,,,agileplus
A-0010,agentic-github,Abhilashb1/Docs/garak,reference,https://github.com/Abhilashb1/Docs,Source: gh-garak-llm-vulnerability,agentic-research
A-0011,architecture,no unsafe_code across workspace,satisfied,#![forbid(unsafe_code)] on all gateway + core crates,,substrate-v3
A-0011,agileplus,DX: QEng (Pyright/Ruff),reference,,,agileplus
A-0011,agentic-github,A-EVO-Lab/a-evolve/CLAUDE.md,reference,https://github.com/A-EVO-Lab/a-evolve,Source: gh-swe-bench,agentic-research
A-0012,architecture,policy engine separated from dispatch,satisfied,policy rules in routing-phenotype-router; dispatch in substrate-app,,substrate-v3
A-0012,agileplus,Eval: Benchmarks,reference,,,agileplus
A-0012,agentic-github,affaan-m/JARVIS/backend/eval/__init__.py,reference,https://github.com/affaan-m/JARVIS,Source: gh-agent-eval-framework,agentic-research
A-0013,architecture,ports dependency-direction rules,satisfied,adapters depend on substrate-core; substrate-core has no adapter deps,,substrate-v3
A-0013,agileplus,Eval: Coverage,reference,,,agileplus
A-0013,agentic-github,agentrhq/webcmd/benchmarks/README.md,reference,https://github.com/agentrhq/webcmd,Source: gh-agent-rubric,agentic-research
A-0014,architecture,schema crate for shared types,satisfied,crates/a2a is a transport-agnostic schema-only leaf crate; crates/a2a/README.md and scripts/verify_schema_crate.py,,substrate-v3
A-0014,agileplus,Governance: Branch Protection,reference,,,agileplus
A-0014,agentic-github,agentsope/SkillAlchemy/skills/agentsop-tool-scoping/SKILL.md,reference,https://github.com/agentsope/SkillAlchemy,Source: gh-agent-rubric,agentic-research
A-0015,architecture,seam crate boundaries (no upward deps),satisfied,substrate-core has no dependencies on adapters,,substrate-v3
A-0015,agileplus,Governance: CODEOWNERS,reference,,,agileplus
A-0015,agentic-github,AGI-Edgerunners/LLM-Agents-Papers/README.md,reference,https://github.com/AGI-Edgerunners/LLM-Agents-Papers,Source: gh-agent-benchmark,agentic-research
A-0016,architecture,shared error type in core,satisfied,substrate-core error.rs canonical Error used by adapters,,substrate-v3
A-0016,agileplus,Governance: Issue Templates,reference,,,agileplus
A-0016,agentic-github,ai-boost/awesome-harness-engineering/README.md,reference,https://github.com/ai-boost/awesome-harness-engineering,Source: gh-agent-eval-framework,agentic-research
A-0017,architecture,workspace layout with crate boundaries,satisfied,44 crates under crates/ with substrate-core as innermost layer,,substrate-v3
A-0017,agileplus,Identity: Brand Guidelines,reference,,,agileplus
A-0017,agentic-github,ai-boost/awesome-prompts/prompts/agent_data_injection_attack_auditor.txt,reference,https://github.com/ai-boost/awesome-prompts,Source: gh-agent-red-team,agentic-research
A-0018,agileplus,Identity: Logo,reference,,,agileplus
A-0018,agentic-github,ai-boost/awesome-prompts/prompts/agent_red_team_architect.txt,reference,https://github.com/ai-boost/awesome-prompts,Source: gh-agent-red-team,agentic-research
A-0019,agileplus,Observability: Logging,reference,,,agileplus
A-0019,agentic-github,ai-boost/awesome-prompts/prompts/contextual_integrity_agent_architect.txt,reference,https://github.com/ai-boost/awesome-prompts,Source: gh-agent-red-team,agentic-research
A-0020,agileplus,Observability: Metrics,reference,,,agileplus
A-0020,agentic-github,ai-boost/awesome-prompts/prompts/internal_safety_collapse_auditor.txt,reference,https://github.com/ai-boost/awesome-prompts,Source: gh-agent-red-team,agentic-research
A-0021,agileplus,Observability: Tracing,reference,,,agileplus
A-0021,agentic-github,ai-boost/awesome-prompts/README.md,reference,https://github.com/ai-boost/awesome-prompts,Source: gh-agent-red-team,agentic-research
A-0022,agileplus,Packaging: Desktop (Tauri/Electrobun),reference,,,agileplus
A-0022,agentic-github,aishwaryanr/awesome-generative-ai-guide/interview_prep/roles/forward-deployed-engineer/resources.md,reference,https://github.com/aishwaryanr/awesome-generative-ai-guide,Source: gh-anthropic-responsible-scaling-policy,agentic-research
A-0023,agileplus,Portability: Cross-Compilation,reference,,,agileplus
A-0023,agentic-github,ai-that-works/ai-that-works/2025-05-13-designing-evals/README.md,reference,https://github.com/ai-that-works/ai-that-works,Source: gh-llm-as-judge,agentic-research
A-0024,agileplus,Portability: WASM,reference,,,agileplus
A-0024,agentic-github,alan-turing-institute/robots-in-disguise/PREVIOUS.md,reference,https://github.com/alan-turing-institute/robots-in-disguise,Source: gh-ai-safety-eval,agentic-research
A-0025,agileplus,Security: Code Scanning,reference,,,agileplus
A-0025,agentic-github,Alexey-Popov/awesome-ai-architect/ai-architecture-topics/evaluation-and-observability.md,reference,https://github.com/Alexey-Popov/awesome-ai-architect,Source: gh-mlflow-evaluation,agentic-research
A-0026,agileplus,Security: Dependency Review,reference,,,agileplus
A-0026,agentic-github,aliminagar/TrialMatch_2026/Makefile,reference,https://github.com/aliminagar/TrialMatch_2026,Source: gh-langsmith-eval,agentic-research
A-0027,agileplus,Security: Secret Management,reference,,,agileplus
A-0027,agentic-github,alopatenko/LLMEvaluation/README.md,reference,https://github.com/alopatenko/LLMEvaluation,Source: gh-ai-safety-eval,agentic-research
A-0028,agileplus,Supply Chain: Cargo Audit,reference,,,agileplus
A-0028,agentic-github,alopatenko/LLMEvaluation/readmeold.md,reference,https://github.com/alopatenko/LLMEvaluation,Source: gh-ai-safety-eval,agentic-research
A-0029,agileplus,Supply Chain: DCO/Signed Commits,reference,,,agileplus
A-0029,agentic-github,amd/gaia/docs/guides/eval-ci.mdx,reference,https://github.com/amd/gaia,Source: gh-agent-eval-framework,agentic-research
A-0030,agileplus,Supply Chain: SLSA,reference,,,agileplus
A-0030,agentic-github,amd/gaia/docs/guides/eval.mdx,reference,https://github.com/amd/gaia,Source: gh-agent-eval-framework,agentic-research
A-0031,agileplus,UX: Visual Design,reference,,,agileplus
A-0031,agentic-github,amd/gaia/docs/plans/agent-ui-eval-benchmark.md,reference,https://github.com/amd/gaia,Source: gh-agent-eval-framework,agentic-research
A-0032,agentic-github,anajuliabit/aeon/memory/logs/2026-06-29.md,reference,https://github.com/anajuliabit/aeon,Source: gh-agent-capability-eval,agentic-research
A-0033,agentic-github,ANative-Lab/Awesome-Self-Evolving-Agents/README.md,reference,https://github.com/ANative-Lab/Awesome-Self-Evolving-Agents,Source: gh-agent-benchmark,agentic-research
A-0034,agentic-github,AndreGejm/MimisBrunnr/documentation/planning/hermes-vs-mimir-gap-analysis.md,reference,https://github.com/AndreGejm/MimisBrunnr,Source: gh-agent-capability-eval,agentic-research
A-0035,agentic-github,anirvandecodes/build-ai-agent-that-works/6.evaluation/README.md,reference,https://github.com/anirvandecodes/build-ai-agent-that-works,Source: gh-mlflow-evaluation,agentic-research
A-0036,agentic-github,anirvandecodes/build-ai-agent-that-works/README.md,reference,https://github.com/anirvandecodes/build-ai-agent-that-works,Source: gh-mlflow-evaluation,agentic-research
A-0037,agentic-github,ankurkumarz/agentic-ai-knowledge-base/docs/EvaluationFrameworks/tech-radar.md,reference,https://github.com/ankurkumarz/agentic-ai-knowledge-base,Source: gh-agent-eval-framework,agentic-research
A-0038,agentic-github,anmolksachan/AI-ML-Free-Resources-for-Security-and-Prompt-Injection/README.md,reference,https://github.com/anmolksachan/AI-ML-Free-Resources-for-Security-and-Prompt-Injection,Source: gh-pyrit,agentic-research
A-0039,agentic-github,antoniosousa1/CapStone_2024/README.md,reference,https://github.com/antoniosousa1/CapStone_2024,Source: gh-ragas-evaluation,agentic-research
A-0040,agentic-github,aorwall/moatless-tools/README.md,reference,https://github.com/aorwall/moatless-tools,Source: gh-swe-bench,agentic-research
A-0041,agentic-github,apisec-inc/AI-Surface/src/ai_surface/audits.py,reference,https://github.com/apisec-inc/AI-Surface,Source: gh-agent-risk-assessment,agentic-research
A-0042,agentic-github,Arcanum-Sec/ai-sec-resources/README.md,reference,https://github.com/Arcanum-Sec/ai-sec-resources,Source: gh-promptfoo,agentic-research
A-0043,agentic-github,AReid987/bunny-warren/activeContext.md,reference,https://github.com/AReid987/bunny-warren,Source: gh-agent-evaluation-criteria,agentic-research
A-0044,agentic-github,ariefrahmansyah/mlops-llmops-mlflow/README.md,reference,https://github.com/ariefrahmansyah/mlops-llmops-mlflow,Source: gh-mlflow-evaluation,agentic-research
A-0045,agentic-github,Arize-ai/phoenix/js/examples/apps/langchain-quickstart/README.md,reference,https://github.com/Arize-ai/phoenix,Source: gh-agent-rubric,agentic-research
A-0046,agentic-github,Arize-ai/phoenix/tutorials/agents/autogen/autogen_agents_evaluator_optimizer.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0047,agentic-github,Arize-ai/phoenix/tutorials/agents/autogen/autogen_agents_orchestrator.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0048,agentic-github,Arize-ai/phoenix/tutorials/agents/autogen/autogen_agents_parallelization.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0049,agentic-github,Arize-ai/phoenix/tutorials/agents/autogen/autogen_agents_prompt_chaining.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0050,agentic-github,Arize-ai/phoenix/tutorials/agents/autogen/autogen_agents_routing.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0051,agentic-github,Arize-ai/phoenix/tutorials/evals/session_level_evals.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0052,agentic-github,Arize-ai/phoenix/tutorials/evals/trace_level_evals.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0053,agentic-github,Arize-ai/phoenix/tutorials/experiments/building_your_own_eval_harness.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0054,agentic-github,Arize-ai/phoenix/tutorials/guardrails/designing_realtime_guardrails.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0055,agentic-github,Arize-ai/phoenix/tutorials/guardrails/jailbreak_and_prompt_injection_defense.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0056,agentic-github,Arize-ai/phoenix/tutorials/tracing/haystack_tracing_tutorial.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0057,agentic-github,Arize-ai/phoenix/tutorials/tracing/openai_tracing_tutorial.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0058,agentic-github,Arize-ai/phoenix/tutorials/tracing/openinference_best_practices_tutorial.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0059,agentic-github,Arize-ai/phoenix/tutorials/tracing/python_tracing_quickstart.ipynb,reference,https://github.com/Arize-ai/phoenix,Source: gh-phoenix-arize,agentic-research
A-0060,agentic-github,arnepadmos/threats/README.md,reference,https://github.com/arnepadmos/threats,Source: gh-agent-risk-assessment,agentic-research
A-0061,agentic-github,Arnon-hs/open-source/aiml/labiium-routiium.md,reference,https://github.com/Arnon-hs/open-source,Source: gh-llm-as-judge,agentic-research
A-0062,agentic-github,asamassekou10/ship-safe/CHANGELOG.md,reference,https://github.com/asamassekou10/ship-safe,Source: gh-agent-red-team,agentic-research
A-0063,agentic-github,asamassekou10/ship-safe/claude-code-plugin/README.md,reference,https://github.com/asamassekou10/ship-safe,Source: gh-agent-red-team,agentic-research
A-0064,agentic-github,asamassekou10/ship-safe/claude-code-plugin/skills/ship-safe-red-team/SKILL.md,reference,https://github.com/asamassekou10/ship-safe,Source: gh-agent-red-team,agentic-research
A-0065,agentic-github,asamassekou10/ship-safe/cli/bin/ship-safe.js,reference,https://github.com/asamassekou10/ship-safe,Source: gh-agent-red-team,agentic-research
A-0066,agentic-github,Ashutosh-AIBOT/neurobot-conversational-ai/README.md,reference,https://github.com/Ashutosh-AIBOT/neurobot-conversational-ai,Source: gh-ragas-evaluation,agentic-research
A-0067,agentic-github,Atilla0105/uzmax-ai-ops/docs/release.md,reference,https://github.com/Atilla0105/uzmax-ai-ops,Source: gh-ai-safety-eval,agentic-research
A-0068,agentic-github,audi0417/agent-engineering-roadmap/templates/risk-assessment-template.md,reference,https://github.com/audi0417/agent-engineering-roadmap,Source: gh-agent-risk-assessment,agentic-research
A-0069,agentic-github,AutoTrustAI/PaperGuru-Benchmark/SurveyBench/latex/alignment-of-large-language-models/article.tex,reference,https://github.com/AutoTrustAI/PaperGuru-Benchmark,Source: gh-anthropic-responsible-scaling-policy,agentic-research
A-0070,agentic-github,AutoTrustAI/PaperGuru-Benchmark/SurveyBench/latex/alignment-of-large-language-models/_body.tex,reference,https://github.com/AutoTrustAI/PaperGuru-Benchmark,Source: gh-anthropic-responsible-scaling-policy,agentic-research
A-0071,agentic-github,AutoTrustAI/PaperGuru-Benchmark/SurveyBench/latex/llm-based-multi-agent/article.tex,reference,https://github.com/AutoTrustAI/PaperGuru-Benchmark,Source: gh-agent-risk-assessment,agentic-research
A-0072,agentic-github,AutoTrustAI/PaperGuru-Benchmark/SurveyBench/latex/llm-based-multi-agent/_body.tex,reference,https://github.com/AutoTrustAI/PaperGuru-Benchmark,Source: gh-agent-risk-assessment,agentic-research
A-0073,agentic-github,AutoTrustAI/PaperGuru-Benchmark/SurveyBench/markdown/alignment-of-large-language-models.md,reference,https://github.com/AutoTrustAI/PaperGuru-Benchmark,Source: gh-anthropic-responsible-scaling-policy,agentic-research
A-0074,agentic-github,AutoTrustAI/PaperGuru-Benchmark/SurveyBench/markdown/llm-based-multi-agent.md,reference,https://github.com/AutoTrustAI/PaperGuru-Benchmark,Source: gh-agent-risk-assessment,agentic-research
A-0075,agentic-github,AweAI-Team/AweAgent/README.md,reference,https://github.com/AweAI-Team/AweAgent,Source: gh-swe-bench,agentic-research
A-0076,agentic-github,awslabs/Agent-EvalKit/AGENTS.md,reference,https://github.com/awslabs/Agent-EvalKit,Source: gh-deepeval,agentic-research
A-0077,agentic-github,aws-samples/genai-ml-platform-examples/operations/sagemaker-mlflow-s3-vector-rag/AGENT.md,reference,https://github.com/aws-samples/genai-ml-platform-examples,Source: gh-mlflow-evaluation,agentic-research
A-0078,agentic-github,aws-samples/genai-quickstart-pocs/README.md,reference,https://github.com/aws-samples/genai-quickstart-pocs,Source: gh-deepeval,agentic-research
A-0079,agentic-github,aws-samples/generative-ai-on-amazon-sagemaker/README.md,reference,https://github.com/aws-samples/generative-ai-on-amazon-sagemaker,Source: gh-llm-as-judge,agentic-research
A-0080,agentic-github,aws-samples/llm-based-advanced-summarization/README.md,reference,https://github.com/aws-samples/llm-based-advanced-summarization,Source: gh-llm-as-judge,agentic-research
A-0081,agentic-github,aws-samples/sample-getting-started-with-strands-agents-course/README.md,reference,https://github.com/aws-samples/sample-getting-started-with-strands-agents-course,Source: gh-ragas-evaluation,agentic-research
A-0082,agentic-github,Ayanami1314/swe-pruner/README.md,reference,https://github.com/Ayanami1314/swe-pruner,Source: gh-swe-bench,agentic-research
A-0083,agentic-github,Azure-Samples/llm-agent-ops-toolkit-sk/evaluation/README.md,reference,https://github.com/Azure-Samples/llm-agent-ops-toolkit-sk,Source: gh-llm-as-judge,agentic-research
A-0084,agentic-github,baekenough/oh-my-customcode/wiki/skills/agent-eval-framework.md,reference,https://github.com/baekenough/oh-my-customcode,Source: gh-agent-eval-framework,agentic-research
A-0085,agentic-github,based2/KB/machine_learning/infra.md,reference,https://github.com/based2/KB,Source: gh-garak-llm-vulnerability,agentic-research
A-0086,agentic-github,bcefghj/competitive-intelligence-multi-agent/docs/interview/eight-part-essay.md,reference,https://github.com/bcefghj/competitive-intelligence-multi-agent,Source: gh-langsmith-eval,agentic-research
A-0087,agentic-github,bdfinst/agentic-dev-team/plugins/dev-team/knowledge/plan-review-rubric.md,reference,https://github.com/bdfinst/agentic-dev-team,Source: gh-agent-rubric,agentic-research
A-0088,agentic-github,benchflow-ai/awesome-evals/README.md,reference,https://github.com/benchflow-ai/awesome-evals,Source: gh-agent-eval-framework,agentic-research
A-0089,agentic-github,benchflow-ai/skillsbench/website/public/llms.txt,reference,https://github.com/benchflow-ai/skillsbench,Source: gh-agent-capability-eval,agentic-research
A-0090,agentic-github,benchflow-ai/skillsbench/website/src/app/layout.tsx,reference,https://github.com/benchflow-ai/skillsbench,Source: gh-agent-capability-eval,agentic-research
A-0091,agentic-github,benjaminwfriedman/bimascode/report_evals/run_evals.md,reference,https://github.com/benjaminwfriedman/bimascode,Source: gh-agent-eval-framework,agentic-research
A-0092,agentic-github,benman1/generative_ai_with_langchain/chapter8/README.md,reference,https://github.com/benman1/generative_ai_with_langchain,Source: gh-langsmith-eval,agentic-research
A-0093,agentic-github,bhardwaj-kushagra/RAG2/README.md,reference,https://github.com/bhardwaj-kushagra/RAG2,Source: gh-ragas-evaluation,agentic-research
A-0094,agentic-github,break-into-data/ai-engineer-toolkit/README.md,reference,https://github.com/break-into-data/ai-engineer-toolkit,Source: gh-deepeval,agentic-research
A-0095,agentic-github,bridge-intelligence-lab/ai-architect/CHANGELOG.md,reference,https://github.com/bridge-intelligence-lab/ai-architect,Source: gh-langsmith-eval,agentic-research
A-0096,agentic-github,bridge-intelligence-lab/ai-architect/docs/langsmith_eval_backlog.md,reference,https://github.com/bridge-intelligence-lab/ai-architect,Source: gh-langsmith-eval,agentic-research
A-0097,agentic-github,bridge-intelligence-lab/ai-architect/docs/testing.md,reference,https://github.com/bridge-intelligence-lab/ai-architect,Source: gh-langsmith-eval,agentic-research
A-0098,agentic-github,BuilderPulse/BuilderPulse/en/2026/2026-04-13.md,reference,https://github.com/BuilderPulse/BuilderPulse,Source: gh-ai-safety-eval,agentic-research
A-0099,agentic-github,builderz-labs/mission-control/docs/SECURITY-HARDENING.md,reference,https://github.com/builderz-labs/mission-control,Source: gh-agent-eval-framework,agentic-research
A-0100,agentic-github,bytedance/UI-TARS/README_v1.md,reference,https://github.com/bytedance/UI-TARS,Source: gh-agent-capability-eval,agentic-research
A-0101,agentic-github,caissonhq/forgebench/docs/merge-risk-benchmark.md,reference,https://github.com/caissonhq/forgebench,Source: gh-agent-capability-eval,agentic-research
A-0102,agentic-github,cccmag/aiprogrammer/2027/11/focus7.md,reference,https://github.com/cccmag/aiprogrammer,Source: gh-garak-llm-vulnerability,agentic-research
A-0103,agentic-github,cckuailong/awesome-gpt-security/README.md,reference,https://github.com/cckuailong/awesome-gpt-security,Source: gh-promptfoo,agentic-research
A-0104,agentic-github,cedrickchee/chatgpt-universe/README.md,reference,https://github.com/cedrickchee/chatgpt-universe,Source: gh-promptfoo,agentic-research
A-0105,agentic-github,ChatPRD/lennys-podcast-transcripts/episodes/hamelshreya/transcript.md,reference,https://github.com/ChatPRD/lennys-podcast-transcripts,Source: gh-phoenix-arize,agentic-research
A-0106,agentic-github,cherkavi/cheat-sheet/ai-tools.md,reference,https://github.com/cherkavi/cheat-sheet,Source: gh-phoenix-arize,agentic-research
A-0107,agentic-github,Chunduri-Aditya/agent-shield/docs/improvement_research.md,reference,https://github.com/Chunduri-Aditya/agent-shield,Source: gh-ai-safety-eval,agentic-research
A-0108,agentic-github,claw-bench/claw-bench/README.md,reference,https://github.com/claw-bench/claw-bench,Source: gh-agent-benchmark,agentic-research
A-0109,agentic-github,cloudera/CML_AMP_LLM_Fine_Tuning_Studio/bin/download_icons.py,reference,https://github.com/cloudera/CML_AMP_LLM_Fine_Tuning_Studio,Source: gh-mlflow-evaluation,agentic-research
A-0110,agentic-github,cloudera/CML_AMP_LLM_Fine_Tuning_Studio/docs/user_guide/mlflow_evaluation.md,reference,https://github.com/cloudera/CML_AMP_LLM_Fine_Tuning_Studio,Source: gh-mlflow-evaluation,agentic-research
A-0111,agentic-github,cloudera/CML_AMP_LLM_Fine_Tuning_Studio/main.py,reference,https://github.com/cloudera/CML_AMP_LLM_Fine_Tuning_Studio,Source: gh-mlflow-evaluation,agentic-research
A-0112,agentic-github,cloudera/CML_AMP_LLM_Fine_Tuning_Studio/pgs/mlflow.py,reference,https://github.com/cloudera/CML_AMP_LLM_Fine_Tuning_Studio,Source: gh-mlflow-evaluation,agentic-research
A-0113,agentic-github,cloudera/CML_AMP_LLM_Fine_Tuning_Studio/README.md,reference,https://github.com/cloudera/CML_AMP_LLM_Fine_Tuning_Studio,Source: gh-mlflow-evaluation,agentic-research
A-0114,agentic-github,cloudsecurelab/security-acronyms/readme.MD,reference,https://github.com/cloudsecurelab/security-acronyms,Source: gh-agent-risk-assessment,agentic-research
A-0115,agentic-github,cloudshipai/station/docs/PRD_ZERO_TO_HERO_STATUS.md,reference,https://github.com/cloudshipai/station,Source: gh-agent-eval-framework,agentic-research
A-0116,agentic-github,cloudshipai/station/ui/src/components/pages/ReportDetailPage.tsx,reference,https://github.com/cloudshipai/station,Source: gh-agent-evaluation-criteria,agentic-research
A-0117,agentic-github,coco-research/coco/systems/superintelligence/ai/cells/theory-science.md,reference,https://github.com/coco-research/coco,Source: gh-openai-preparedness-framework,agentic-research
A-0118,agentic-github,coco-research/coco/systems/superintelligence/ai/EXPANSION.md,reference,https://github.com/coco-research/coco,Source: gh-openai-preparedness-framework,agentic-research
A-0119,agentic-github,CoderSJX/AI-Resources-Central/README.md,reference,https://github.com/CoderSJX/AI-Resources-Central,Source: gh-promptfoo,agentic-research
A-0120,agentic-github,CSHaitao/Awesome-LLMs-as-Judges/README.md,reference,https://github.com/CSHaitao/Awesome-LLMs-as-Judges,Source: gh-llm-as-judge,agentic-research
A-0121,agentic-github,dammanhdungvn/demo-day/docs/version4/AI_SAFETY_EVAL_NOTES.md,reference,https://github.com/dammanhdungvn/demo-day,Source: gh-ai-safety-eval,agentic-research
A-0122,agentic-github,dancinlab/hexa-codex/eval/ai-eval-pipeline.md,reference,https://github.com/dancinlab/hexa-codex,Source: gh-agent-capability-eval,agentic-research
A-0123,agentic-github,dancinlab/hexa-mind/AI-EVAL-PIPELINE.md,reference,https://github.com/dancinlab/hexa-mind,Source: gh-agent-capability-eval,agentic-research
A-0124,agentic-github,dapr/dapr-agents/examples/02-durable-agent-tool-call/README.md,reference,https://github.com/dapr/dapr-agents,Source: gh-phoenix-arize,agentic-research
A-0125,agentic-github,dapr/dapr-agents/examples/07-agents-as-activities-observability/README.md,reference,https://github.com/dapr/dapr-agents,Source: gh-phoenix-arize,agentic-research
A-0126,agentic-github,dapr/dapr-agents/examples/README.md,reference,https://github.com/dapr/dapr-agents,Source: gh-phoenix-arize,agentic-research
A-0127,agentic-github,dapurv5/awesome-red-teaming-llms/Defenses.md,reference,https://github.com/dapurv5/awesome-red-teaming-llms,Source: gh-garak-llm-vulnerability,agentic-research
A-0128,agentic-github,DataArcTech/DataArc-SynData-Toolkit/README.md,reference,https://github.com/DataArcTech/DataArc-SynData-Toolkit,Source: gh-deepeval,agentic-research
A-0129,agentic-github,databricks/app-templates/agent-openai-advanced/agent_server/utils.py,reference,https://github.com/databricks/app-templates,Source: gh-mlflow-evaluation,agentic-research
A-0130,agentic-github,databricks/containers/ubuntu/blackice/example_notebook/CAMLIS-Demo.ipynb,reference,https://github.com/databricks/containers,Source: gh-garak-llm-vulnerability,agentic-research
A-0131,agentic-github,databrickslabs/kasal/src/backend/src/models/databricks_config.py,reference,https://github.com/databrickslabs/kasal,Source: gh-mlflow-evaluation,agentic-research
A-0132,agentic-github,databrickslabs/kasal/src/backend/src/schemas/databricks_config.py,reference,https://github.com/databrickslabs/kasal,Source: gh-mlflow-evaluation,agentic-research
A-0133,agentic-github,databricks-solutions/ai-dev-kit/databricks-builder-app/README.md,reference,https://github.com/databricks-solutions/ai-dev-kit,Source: gh-mlflow-evaluation,agentic-research
A-0134,agentic-github,databricks-solutions/ai-dev-kit/install.sh,reference,https://github.com/databricks-solutions/ai-dev-kit,Source: gh-mlflow-evaluation,agentic-research
A-0135,agentic-github,databricks-solutions/databricks-blogposts/2026-04-Intelligent-document-processing/README.md,reference,https://github.com/databricks-solutions/databricks-blogposts,Source: gh-mlflow-evaluation,agentic-research
A-0136,agentic-github,databricks/tmm/agent_apps_workshop/docs/lab-guide/README.md,reference,https://github.com/databricks/tmm,Source: gh-mlflow-evaluation,agentic-research
A-0137,agentic-github,DataDog/system-tests/AGENTS.md,reference,https://github.com/DataDog/system-tests,Source: gh-promptfoo,agentic-research
